iter	Passed	Remaining
0	4	444
1	8	416
2	12	404
3	14	353
4	16	320
5	18	296
6	21	280
7	23	269
8	25	258
9	27	248
10	29	240
11	31	234
12	33	227
13	36	221
14	38	216
15	40	211
16	42	206
17	44	201
18	46	197
19	48	192
20	49	186
21	51	181
22	52	176
23	54	172
24	56	168
25	57	164
26	59	160
27	61	157
28	62	153
29	64	150
30	66	147
31	67	143
32	69	140
33	70	137
34	72	134
35	74	131
36	75	129
37	77	126
38	79	123
39	80	121
40	82	118
41	83	114
42	84	112
43	86	109
44	87	107
45	89	105
46	91	102
47	92	100
48	94	98
49	96	96
50	97	93
51	99	91
52	100	89
53	102	87
54	103	84
55	105	82
56	106	80
57	108	78
58	110	76
59	111	74
60	113	72
61	115	70
62	116	68
63	118	66
64	120	64
65	121	62
66	123	60
67	125	58
68	126	56
69	128	54
70	129	53
71	131	51
72	133	49
73	134	47
74	136	45
75	138	43
76	139	41
77	141	39
78	143	38
79	144	36
80	146	34
81	148	32
82	150	30
83	152	28
84	153	27
85	155	25
86	157	23
87	158	21
88	160	19
89	162	18
90	164	16
91	165	14
92	167	12
93	168	10
94	170	8
95	172	7
96	173	5
97	175	3
98	177	1
99	178	0
