iter	Passed	Remaining
0	2	2336
1	6	3040
2	8	2785
3	10	2531
4	11	2381
5	13	2283
6	15	2213
7	17	2159
8	19	2178
9	22	2244
10	24	2229
11	26	2215
12	28	2200
13	36	2593
14	39	2593
15	42	2622
16	45	2625
17	48	2632
18	51	2672
19	54	2684
20	57	2679
21	61	2712
22	64	2723
23	67	2742
24	70	2733
25	72	2721
26	75	2710
27	77	2695
28	84	2826
29	87	2825
30	93	2920
31	98	2994
32	101	2985
33	104	2965
34	106	2944
35	109	2926
36	114	2968
37	117	2965
38	120	2956
39	126	3036
40	129	3035
41	132	3025
42	136	3038
43	139	3025
44	143	3046
45	146	3032
46	152	3089
47	154	3072
48	157	3059
49	160	3049
50	165	3086
51	168	3070
52	171	3056
53	173	3045
54	176	3029
55	181	3060
56	184	3058
57	187	3043
58	189	3029
59	192	3013
60	198	3063
61	201	3046
62	203	3030
63	206	3015
64	208	3000
65	217	3083
66	220	3069
67	223	3067
68	227	3075
69	230	3066
70	233	3054
71	235	3041
72	238	3026
73	240	3012
74	244	3017
75	247	3004
76	250	3000
77	257	3039
78	259	3027
79	262	3021
80	265	3009
81	272	3045
82	273	3023
83	276	3013
84	278	3001
85	281	2992
86	299	3139
87	303	3148
88	306	3138
89	309	3128
90	312	3116
91	314	3108
92	318	3105
93	321	3099
94	324	3093
95	327	3087
96	334	3113
97	338	3115
98	342	3118
99	345	3106
100	350	3121
101	353	3110
102	355	3099
103	358	3088
104	361	3077
105	365	3086
106	370	3090
107	372	3079
108	375	3069
109	381	3084
110	387	3102
111	393	3119
112	396	3109
113	399	3104
114	405	3119
115	407	3108
116	410	3097
117	412	3086
118	415	3075
119	421	3088
120	423	3078
121	425	3063
122	428	3055
123	431	3045
124	439	3074
125	441	3064
126	444	3057
127	447	3049
128	452	3055
129	455	3045
130	457	3036
131	460	3026
132	462	3017
133	469	3037
134	477	3057
135	483	3072
136	486	3067
137	489	3059
138	494	3061
139	498	3064
140	502	3060
141	504	3051
142	510	3056
143	513	3054
144	516	3045
145	520	3043
146	523	3038
147	525	3027
148	528	3018
149	530	3005
150	532	2993
151	534	2980
152	536	2969
153	539	2961
154	540	2948
155	542	2936
156	544	2923
157	546	2911
158	548	2898
159	549	2886
160	551	2874
161	554	2869
162	556	2858
163	558	2846
164	560	2834
165	562	2823
166	563	2812
167	567	2811
168	570	2803
169	572	2795
170	574	2785
171	576	2775
172	578	2764
173	580	2754
174	584	2754
175	587	2749
176	589	2740
177	592	2737
178	594	2727
179	599	2732
180	601	2723
181	603	2712
182	605	2702
183	607	2693
184	609	2683
185	610	2673
186	615	2675
187	617	2666
188	619	2658
189	621	2650
190	623	2641
191	625	2632
192	629	2630
193	631	2622
194	632	2613
195	634	2604
196	636	2595
197	638	2586
198	641	2580
199	644	2578
200	646	2570
201	648	2561
202	650	2552
203	651	2543
204	653	2534
205	655	2525
206	659	2525
207	661	2517
208	663	2511
209	666	2506
210	668	2498
211	670	2491
212	674	2492
213	677	2488
214	679	2480
215	682	2475
216	685	2474
217	689	2472
218	692	2470
219	695	2465
220	697	2459
221	699	2452
222	701	2445
223	709	2458
224	712	2453
225	714	2447
226	716	2441
227	721	2442
228	723	2437
229	725	2430
230	729	2427
231	731	2422
232	735	2422
233	739	2419
234	742	2416
235	744	2409
236	746	2402
237	748	2395
238	753	2397
239	757	2398
240	759	2391
241	761	2385
242	765	2386
243	768	2382
244	770	2375
245	772	2369
246	776	2368
247	782	2371
248	784	2367
249	787	2362
250	790	2359
251	795	2362
252	801	2367
253	803	2361
254	806	2355
255	808	2348
256	822	2379
257	830	2389
258	834	2387
